id,author,geometry,pressure [MPa],mass_flux [kg/m2-s],x_e_out [-],D_e [mm],D_h [mm],length [mm],chf_exp [MW/m2]
13125,Williams,,11.03,1214.0,-0.0278,9.5,9.5,1836.0,2.1
6983,Thompson,tube,6.89,4056.0,0.0374,,10.8,1727.0,4.2
13491,,tube,9.68,4069.0,0.0901,11.5,11.5,1524.0,2.9
18883,Beus,annulus,15.51,1355.0,0.0537,5.6,15.2,2134.0,2.1
17612,,tube,6.89,2699.0,-0.0515,,23.6,1972.0,12.7
20976,,annulus,6.92,1533.0,0.0196,8.5,24.6,1778.0,3.6
28476,,tube,18.96,2034.0,-0.3826,,1.9,152.0,3.6
25656,Beus,annulus,13.79,2710.0,-0.0185,5.6,,2134.0,4.6
15285,Janssen,annulus,6.92,2292.0,0.1205,12.7,42.3,1778.0,2.6
18803,Thompson,,6.89,6551.0,-0.0264,10.3,10.3,794.0,5.4
8873,Thompson,tube,13.79,1272.0,0.1146,7.8,7.8,591.0,2.9
1458,Thompson,tube,13.79,1424.0,0.0839,7.8,,591.0,4.6
30832,Thompson,tube,13.79,6022.0,0.0582,4.7,,318.0,2.5
26147,Thompson,annulus,6.78,3052.0,0.0028,12.7,42.3,1778.0,4.7
5559,Weatherhead,tube,13.79,1344.0,-0.0111,11.1,11.1,457.0,2.1
9821,Thompson,tube,6.79,,0.0108,10.8,10.8,,4.4
18071,Janssen,annulus,9.69,2807.0,0.0135,6.4,15.9,914.0,2.9
113,Thompson,tube,8.96,2034.0,0.0656,11.5,11.5,1524.0,4.4
21811,Williams,tube,15.17,1332.0,0.1093,9.5,9.5,1836.0,2.6
1377,Thompson,tube,6.96,4096.0,-0.0413,10.8,10.8,864.0,4.7
9824,Thompson,tube,6.83,4062.0,0.0324,10.8,10.8,432.0,4.2
22061,,annulus,6.89,2319.0,0.0825,6.4,15.9,914.0,2.3
1490,Thompson,tube,6.89,7473.0,0.0045,,4.7,318.0,2.5
20596,Thompson,,,3838.0,0.0128,10.8,10.8,,3.0
18923,Peskov,tube,10.0,4750.0,-0.068,10.0,10.0,660.0,3.1
17349,Thompson,,,3458.0,-0.1515,1.9,,696.0,2.3
2167,Thompson,tube,15.51,2319.0,-0.1334,1.9,1.9,152.0,3.2
14940,Mortimore,annulus,13.79,2731.0,0.0886,5.0,13.3,,1.5
23757,Thompson,tube,18.96,1858.0,-0.0918,1.9,,,5.8
16266,Thompson,tube,3.45,,-0.0596,,10.3,,5.2
15934,Thompson,tube,6.89,3825.0,-0.0875,23.6,23.6,1972.0,6.8
26449,Thompson,tube,,3669.0,-0.0992,1.9,1.9,,2.1
17372,Peskov,,16.0,3056.0,0.1228,10.0,10.0,890.0,1.2
3785,Richenderfer,,0.51,,-0.1041,15.0,120.0,,5.2
7959,Richenderfer,plate,,4986.0,-0.0187,15.0,,10.0,5.2
25822,Thompson,,,,-0.0345,4.7,4.7,318.0,2.5
16090,Weatherhead,tube,13.79,1370.0,-0.159,7.7,,457.0,4.3
12658,Thompson,tube,6.89,1356.0,0.0702,23.6,23.6,1972.0,2.0
25677,Richenderfer,plate,0.1,734.0,-0.0415,15.0,120.0,10.0,4.2
26075,Richenderfer,plate,,1000.0,-0.0596,15.0,120.0,,5.8
27109,Thompson,tube,13.79,6144.0,-0.0398,,4.7,318.0,3.5
4169,Janssen,annulus,9.51,2292.0,0.0108,12.7,42.3,1778.0,3.0
19664,Thompson,,13.79,,-0.3479,4.7,4.7,318.0,4.2
29488,Beus,annulus,15.51,3701.0,-0.0279,5.6,15.2,2134.0,2.3
26652,Janssen,,9.71,,0.0291,6.4,15.9,914.0,3.3
10370,Thompson,tube,6.89,,0.1101,4.7,4.7,318.0,4.9
14843,,tube,,1316.0,0.0808,7.7,7.7,457.0,2.2
20137,Peskov,tube,10.0,,-0.0629,10.0,10.0,565.0,4.4
3825,Thompson,tube,6.89,2740.0,0.0533,12.8,12.8,1930.0,2.5
7670,,tube,13.79,1614.0,0.0929,7.7,7.7,457.0,2.1
8329,Beus,annulus,15.51,2729.0,0.0145,5.6,15.2,2134.0,1.6
19655,Williams,tube,8.27,4008.0,0.0374,,9.5,1836.0,2.4
3474,Beus,,11.03,3665.0,0.0231,5.6,15.2,2134.0,3.6
23008,Thompson,tube,,3974.0,0.0134,,10.8,,3.0
26939,Thompson,,6.79,3838.0,0.0197,10.8,10.8,432.0,4.5
19830,Thompson,tube,13.79,5208.0,0.0247,5.7,5.7,,2.8
7231,,tube,13.79,,-0.0573,7.7,7.7,457.0,3.7
16049,Thompson,tube,13.79,783.0,-0.0541,4.7,4.7,318.0,3.8
13888,Thompson,,13.79,1370.0,0.1323,7.7,,,2.4
29615,Thompson,tube,13.79,3608.0,-0.0224,4.7,4.7,318.0,3.3
8111,Janssen,annulus,,1519.0,0.1247,8.5,22.3,1829.0,3.2
26476,Thompson,tube,6.89,4069.0,-0.0431,5.6,5.6,432.0,6.7
11841,Thompson,tube,,3648.0,-0.0515,,4.7,318.0,3.1
31020,Williams,tube,13.79,4069.0,0.0788,9.5,9.5,,2.3
10695,Thompson,tube,,4069.0,0.1536,11.5,11.5,1727.0,2.2
13760,Thompson,tube,6.79,1899.0,0.0008,10.8,10.8,432.0,4.0
7950,,tube,13.79,1339.0,-0.0158,7.7,7.7,457.0,2.1
5539,Thompson,,,,-0.0694,4.7,4.7,318.0,3.2
17984,Thompson,tube,6.89,5452.0,0.0129,,12.8,,3.4
30553,Thompson,tube,13.79,,0.0129,,7.8,591.0,3.8
21317,Beus,annulus,15.51,3673.0,0.0749,5.6,15.2,2134.0,1.7
12370,Thompson,tube,10.96,2034.0,-0.1339,10.8,10.8,762.0,3.6
16364,Thompson,,6.89,7690.0,-0.0416,10.3,10.3,762.0,3.2
23134,Thompson,tube,6.86,1899.0,0.0904,10.8,,432.0,3.7
18392,Thompson,tube,6.89,3797.0,0.0135,,23.6,610.0,2.9
28728,Beus,annulus,11.0,,0.0426,5.6,15.2,,1.7
25094,Thompson,tube,6.89,4069.0,0.1203,12.8,,1930.0,2.8
24159,Thompson,tube,,1655.0,0.0214,,7.7,457.0,2.4
10913,Thompson,tube,13.79,2333.0,0.0827,4.7,4.7,305.0,2.9
21589,Thompson,tube,6.89,1912.0,0.0362,23.6,23.6,1972.0,2.6
17467,Thompson,tube,13.79,1356.0,-0.0556,7.7,7.7,,3.4
18601,,tube,13.79,,0.0797,9.5,9.5,1836.0,1.5
6704,Janssen,annulus,6.9,,0.0145,6.4,15.9,914.0,3.6
5926,,tube,11.03,2034.0,-0.0263,9.3,9.3,762.0,3.0
2020,Thompson,tube,11.0,2034.0,0.1747,9.3,9.3,762.0,2.5
27761,Thompson,tube,13.79,3458.0,-0.3209,4.7,4.7,318.0,4.1
14162,Thompson,tube,6.89,5723.0,-0.0268,10.3,10.3,794.0,4.3
3242,Thompson,tube,18.27,861.0,-0.0137,3.0,3.0,35.0,6.5
27312,Janssen,annulus,9.65,,0.0109,12.7,42.3,1778.0,5.4
4319,Thompson,,6.86,4123.0,0.0901,10.8,10.8,432.0,3.9
9889,Thompson,tube,13.79,4964.0,-0.0071,4.7,4.7,318.0,3.0
23863,Thompson,tube,,4055.0,0.0831,10.8,10.8,864.0,4.4
29038,Janssen,annulus,9.68,1519.0,0.0515,12.7,42.3,1778.0,2.9
26535,Williams,tube,15.17,4059.0,0.0928,9.5,9.5,1836.0,2.8
17959,Thompson,tube,10.34,,-0.1239,10.3,10.3,762.0,6.0
10793,Thompson,,6.89,5778.0,-0.1438,10.3,10.3,762.0,5.9
31484,Weatherhead,tube,13.79,,0.0081,7.7,7.7,457.0,2.6
30197,,tube,12.38,542.0,0.1648,19.8,19.8,,2.4
9434,Thompson,,13.79,4299.0,0.0001,4.7,4.7,318.0,4.3
23160,Thompson,tube,3.86,4055.0,0.1407,10.8,10.8,864.0,4.5
27379,Peskov,tube,18.0,,-0.0297,10.0,10.0,1000.0,2.9
21449,Janssen,,6.89,2278.0,0.0008,,42.3,1778.0,4.4
1305,Thompson,tube,6.89,1926.0,0.0254,23.6,23.6,1972.0,2.6
4754,Williams,tube,15.17,,0.0476,,9.5,1836.0,2.3
24814,Thompson,tube,18.96,4042.0,-0.1943,1.9,1.9,,4.3
25204,Thompson,tube,13.79,,-0.1054,5.7,5.7,625.0,6.0
12915,,,6.86,4096.0,-0.044,5.6,5.6,432.0,7.5
19627,Beus,annulus,11.03,,-0.0601,5.6,15.2,,2.1
692,Janssen,annulus,,2278.0,0.0448,12.7,42.3,1778.0,3.6
6002,Weatherhead,tube,13.79,1290.0,0.0145,7.7,7.7,457.0,2.3
9566,Thompson,tube,,1085.0,-0.3209,,4.7,318.0,4.5
6518,Thompson,tube,4.1,4069.0,0.0196,10.8,,864.0,5.9
17905,Thompson,tube,6.89,7473.0,-0.0156,23.6,23.6,,3.5
4492,Beus,annulus,13.79,3701.0,0.0426,,15.2,2134.0,1.1
18309,,tube,6.89,6049.0,-0.1403,,10.3,,4.7
5628,Peskov,tube,,2439.0,0.1103,10.0,10.0,,3.0
11715,Thompson,tube,13.79,7391.0,-0.3339,4.7,4.7,318.0,10.6
6321,Thompson,tube,3.86,,0.1101,10.8,10.8,432.0,4.4
24914,Thompson,tube,6.89,3662.0,-0.0338,,10.3,762.0,5.3
17550,Thompson,,10.34,5940.0,0.0003,,10.3,,2.7
1561,,tube,6.89,4042.0,-0.0338,10.3,,,4.6
12680,Janssen,annulus,9.65,5615.0,-0.0945,6.4,15.9,914.0,3.5
2770,,tube,,5479.0,-0.0386,10.3,10.3,762.0,6.2
24761,Thompson,,6.83,,-0.0134,,10.8,,8.0
27258,Thompson,,3.45,5954.0,0.0001,10.3,10.3,762.0,4.3
15436,,tube,,6212.0,-0.1208,4.7,4.7,,5.9
6493,Richenderfer,plate,0.91,1500.0,-0.0093,15.0,120.0,10.0,4.1
31379,Thompson,tube,13.79,1214.0,0.0782,4.7,4.7,318.0,2.5
31157,,tube,6.83,4055.0,0.0015,10.8,10.8,,4.2
17513,Thompson,tube,13.79,3920.0,-0.0565,1.9,1.9,,3.7
27065,Thompson,tube,3.83,3974.0,0.1515,,10.8,864.0,3.8
1187,Janssen,annulus,9.69,5520.0,-0.0027,12.7,,914.0,5.2
5563,Williams,tube,13.79,4027.0,0.1565,9.5,9.5,1836.0,1.8
30722,Thompson,tube,13.79,1085.0,-0.0349,,4.7,318.0,12.7
10272,Thompson,,18.96,1831.0,-0.363,1.9,1.9,152.0,1.8
17809,Thompson,tube,6.79,4096.0,0.0191,,10.8,,4.3
4175,Thompson,,6.89,6618.0,-0.0416,10.3,10.3,762.0,4.6
18485,Thompson,tube,6.79,4069.0,0.0624,10.8,,432.0,3.4
14298,Richenderfer,plate,0.51,,-0.0413,15.0,120.0,,4.9
29359,Thompson,tube,6.86,4096.0,0.0257,10.8,10.8,,5.7
9943,Thompson,tube,15.51,3146.0,-0.0367,1.9,1.9,152.0,4.7
17624,Thompson,tube,13.79,4774.0,-0.2106,4.7,4.7,318.0,3.2
10482,Janssen,annulus,6.89,1165.0,0.0297,12.7,,2743.0,1.9
18224,Richenderfer,plate,0.2,1000.0,-0.0198,,120.0,10.0,5.1
27405,Thompson,tube,13.79,1410.0,-0.0616,5.7,5.7,625.0,4.0
3292,Janssen,annulus,6.89,,0.0474,4.6,11.3,1778.0,2.3
14017,Thompson,tube,13.79,1046.0,0.0334,7.8,7.8,591.0,4.6
19287,Beus,annulus,13.79,,0.0902,5.6,15.2,2134.0,1.5
4530,Janssen,annulus,4.13,1519.0,0.1356,,42.3,1778.0,2.3
22430,Thompson,tube,6.86,4043.0,0.1354,,10.8,1727.0,2.1
1550,,tube,13.79,3594.0,0.0833,4.7,4.7,318.0,3.8
22361,Thompson,tube,13.79,2061.0,0.0372,,7.8,591.0,2.8
29037,Thompson,tube,,,0.0568,5.6,15.2,2134.0,1.6
14794,Thompson,tube,13.79,1214.0,-0.1212,4.7,4.7,305.0,7.7
30060,Janssen,annulus,,1519.0,0.0509,,42.3,1778.0,3.1
2491,Janssen,,6.85,2807.0,-0.0135,6.4,15.9,914.0,4.3
28559,,tube,8.27,,-0.1221,3.6,3.6,76.0,3.5
28876,,,10.34,3960.0,-0.1218,,,762.0,3.2
11021,Janssen,,6.91,5533.0,0.0161,12.7,38.1,914.0,4.5
14868,Thompson,tube,13.79,2373.0,0.0948,7.8,7.8,591.0,2.7
12581,Weatherhead,tube,13.79,2007.0,0.0295,11.1,11.1,457.0,2.6
2756,Thompson,tube,13.79,1214.0,0.0776,3.6,3.6,76.0,3.9
6381,Thompson,,6.89,1858.0,0.0129,10.8,10.8,216.0,4.2
5698,Thompson,tube,11.1,3391.0,0.0587,11.5,11.5,914.0,2.3
15783,,tube,6.89,3580.0,0.099,5.6,5.6,432.0,4.2
2817,Janssen,annulus,7.08,1614.0,0.1215,8.5,22.3,,2.1
5133,Janssen,annulus,9.71,2292.0,-0.0298,12.7,42.3,1778.0,3.8
31351,Beus,annulus,13.79,2740.0,-0.027,5.6,15.2,2134.0,3.6
7489,Thompson,tube,3.9,3974.0,0.0887,10.8,10.8,432.0,3.9
22104,Mortimore,annulus,8.27,2731.0,0.1124,5.0,13.3,2134.0,2.9
2656,Thompson,tube,,,0.0888,10.3,10.3,762.0,4.9
26094,Thompson,tube,8.27,3670.0,0.0857,5.6,5.6,229.0,2.5
13757,,tube,13.79,1682.0,-0.0573,7.7,7.7,457.0,5.0
26891,Thompson,,18.27,833.0,-0.0593,3.0,3.0,,3.0
30428,Williams,tube,13.79,2700.0,0.1339,,9.5,1836.0,2.2
10933,Thompson,,6.86,1899.0,0.0231,,,432.0,3.8
7849,,tube,13.79,3797.0,-0.0309,1.9,1.9,152.0,5.8
398,,,18.96,3458.0,-0.192,1.9,,696.0,2.8
18959,Weatherhead,tube,13.79,2034.0,-0.0098,11.1,11.1,,5.4
8841,,tube,4.21,,0.0129,10.8,10.8,864.0,3.7
4006,Thompson,,11.07,3391.0,0.0498,,11.5,1143.0,3.2
23405,Thompson,,10.34,3960.0,-0.0515,10.3,10.3,762.0,4.4
19789,Thompson,,6.89,,0.0032,12.8,,1930.0,4.3
23964,Kossolapov,plate,,310.0,-0.0109,15.0,,10.0,4.2
24036,Weatherhead,tube,13.79,1344.0,0.0886,11.1,11.1,457.0,1.0
13569,Thompson,tube,7.03,4032.0,0.0637,10.8,10.8,864.0,2.5
4572,Beus,annulus,5.03,3998.0,0.0409,5.6,,,3.4
28905,Thompson,tube,13.79,1397.0,-0.0929,4.7,4.7,318.0,2.2
11776,Thompson,tube,6.89,3513.0,0.0063,10.8,,432.0,4.3
12151,Thompson,tube,6.79,4096.0,0.0801,,10.8,864.0,3.7
26477,Thompson,tube,6.89,,-0.0229,37.5,37.5,,11.0
27094,Weatherhead,tube,13.79,1383.0,0.0929,7.7,,,1.9
283,Thompson,tube,12.07,3458.0,-0.0296,1.9,1.9,,3.4
6566,Janssen,annulus,6.92,3038.0,0.057,8.5,24.6,1778.0,3.3
12783,,tube,,2604.0,-0.0389,7.7,7.7,457.0,4.6
830,Thompson,tube,,3960.0,0.0818,10.3,10.3,762.0,2.3
28874,Williams,tube,11.03,,-0.0169,9.5,9.5,1836.0,2.0
2825,Thompson,tube,10.34,7459.0,-0.032,37.5,37.5,1953.0,4.9
507,Thompson,tube,6.89,3580.0,0.0363,5.6,5.6,432.0,4.2
10183,Janssen,annulus,6.92,2306.0,0.0753,4.6,11.3,1778.0,2.9
17936,,tube,6.89,6279.0,-0.0274,10.3,,762.0,4.9
17408,Thompson,tube,17.24,2862.0,-0.0204,,1.9,152.0,5.8
22904,Peskov,tube,12.0,4750.0,-0.0434,10.0,,660.0,3.3
6228,Richenderfer,,0.51,1500.0,-0.0096,15.0,120.0,10.0,4.3
3350,Janssen,annulus,6.89,1533.0,0.1917,8.5,24.6,1778.0,2.2
4250,Thompson,tube,,6971.0,-0.0455,4.7,4.7,318.0,2.8
9155,Williams,tube,15.17,2676.0,0.1679,9.5,9.5,1836.0,1.8
11797,,plate,1.01,1000.0,-0.0407,15.0,120.0,,6.2
11117,Thompson,tube,13.79,1465.0,0.0903,7.8,,591.0,2.1
8683,Thompson,tube,10.34,4055.0,-0.0886,10.3,,762.0,6.5
21624,Janssen,annulus,6.89,1533.0,0.0297,12.7,42.3,1829.0,3.4
877,Thompson,tube,6.79,6998.0,-0.0651,10.3,10.3,794.0,5.2
3220,Thompson,tube,6.89,1763.0,0.0459,23.6,23.6,610.0,2.7
23290,Janssen,,4.13,1519.0,0.1517,12.7,42.3,1778.0,2.3
7948,Richenderfer,plate,0.1,1000.0,-0.0184,15.0,120.0,10.0,4.1
27960,,tube,13.79,3648.0,0.0258,,4.7,,0.9
2679,Thompson,tube,13.79,,-0.1806,4.7,,318.0,5.0
5491,,tube,13.79,913.0,-0.0568,7.7,7.7,457.0,3.9
14357,Thompson,tube,6.89,,0.0451,5.6,5.6,432.0,4.8
1246,Peskov,tube,18.0,1655.0,-0.068,10.0,10.0,1650.0,1.8
15403,Janssen,annulus,6.89,2875.0,0.0334,6.4,15.9,914.0,2.1
15095,Weatherhead,tube,13.79,1465.0,0.0876,7.7,7.7,457.0,2.3
25779,,annulus,15.51,1249.0,0.0073,5.6,15.2,2134.0,1.8
20524,Thompson,tube,13.79,,-0.0299,4.7,4.7,318.0,2.5
20134,,tube,6.89,5723.0,-0.0251,,10.3,762.0,4.7
3667,Weatherhead,,13.79,1352.0,-0.0276,,7.7,457.0,2.1
26722,Thompson,,13.79,,-0.0408,5.7,5.7,625.0,2.5
21974,Thompson,tube,13.79,1031.0,0.0648,4.7,4.7,318.0,1.9
15337,Thompson,tube,13.79,,-0.032,1.9,1.9,152.0,2.7
29852,Janssen,annulus,6.92,1519.0,0.0335,8.5,24.6,,3.2
535,Thompson,tube,6.86,4055.0,0.0424,10.8,,864.0,5.4
7459,Thompson,tube,,746.0,-0.4505,4.7,4.7,318.0,3.6
12927,,tube,13.79,1336.0,0.0886,7.7,7.7,457.0,1.8
23044,Thompson,tube,13.79,1286.0,0.0713,7.8,7.8,591.0,2.5
418,,tube,12.0,3784.0,-0.0465,10.0,10.0,660.0,4.3
30332,Thompson,tube,18.96,1944.0,-0.1258,,1.9,,3.2
3554,Thompson,tube,3.45,3784.0,0.0032,,10.3,762.0,3.6
24509,Thompson,tube,13.79,,-0.0222,7.7,7.7,457.0,4.3
3059,Thompson,tube,6.79,4056.0,0.0028,10.8,10.8,432.0,3.3
29238,Thompson,tube,13.79,2753.0,-0.082,4.7,4.7,318.0,2.7
16166,Janssen,annulus,6.89,5533.0,0.0063,12.7,,914.0,3.7
7575,Janssen,annulus,4.13,1519.0,0.0479,,,1778.0,2.0
12111,Beus,annulus,8.27,1345.0,0.1081,5.6,15.2,2134.0,2.1
23810,Thompson,tube,,5371.0,0.0027,23.6,23.6,1972.0,19.3
8512,,tube,13.79,1356.0,0.0372,7.8,7.8,,2.9
26086,Peskov,tube,12.0,2000.0,-0.0868,10.0,10.0,565.0,4.1
25,,tube,13.79,6198.0,-0.137,4.7,,318.0,9.2
14012,Thompson,tube,13.79,2251.0,-0.0992,,1.9,152.0,5.9
19122,Williams,,13.79,3997.0,0.14,9.5,9.5,1836.0,1.5
13266,Thompson,tube,,1383.0,-0.0517,4.7,4.7,318.0,4.4
9527,Thompson,tube,,1858.0,-0.0863,1.9,,152.0,4.9
25825,Janssen,annulus,6.89,2319.0,-0.0208,12.7,,914.0,4.0
9755,Thompson,tube,,,-0.0666,23.6,23.6,1972.0,5.0
19648,,tube,13.79,1356.0,0.1784,7.8,7.8,591.0,1.0
8017,Thompson,,6.89,4055.0,-0.0492,,10.3,762.0,5.3
12996,Thompson,tube,6.96,4062.0,0.1078,10.8,,864.0,4.2
24402,Thompson,tube,3.45,5588.0,0.146,10.3,10.3,762.0,4.5
25571,Richenderfer,plate,0.1,2000.0,-0.0431,,120.0,10.0,4.4
8308,Beus,annulus,13.79,1349.0,-0.0195,5.6,15.2,2134.0,4.7
6795,Weatherhead,,13.79,1356.0,-0.2387,7.7,7.7,457.0,13.3
28238,Thompson,tube,13.79,,-0.0925,5.7,5.7,,3.2
24692,Thompson,,10.34,,-0.1218,10.3,10.3,762.0,7.9
21061,Weatherhead,tube,,2699.0,0.0928,7.7,7.7,457.0,2.3
13739,,tube,6.89,7880.0,-0.0622,10.3,10.3,794.0,5.4
14527,Beus,annulus,13.79,,0.0901,,,2134.0,2.2
28733,Thompson,,3.45,,-0.1334,,,76.0,7.4
11496,Thompson,tube,10.51,2550.0,0.0557,,4.6,229.0,1.2
15026,Weatherhead,,13.79,1318.0,0.0484,,,457.0,2.3
23927,Williams,,,4096.0,0.1006,9.5,9.5,,2.0
12889,Thompson,tube,13.79,,0.0902,7.8,7.8,591.0,3.4
25086,Thompson,,,6157.0,-0.4486,4.7,4.7,,6.5
21556,Thompson,tube,13.79,,0.0406,4.7,4.7,318.0,2.5
7858,Williams,tube,8.27,2661.0,0.1093,9.5,,1836.0,2.4
18625,Peskov,tube,12.0,1000.0,-0.1184,10.0,10.0,496.0,2.4
21968,,tube,10.34,3974.0,-0.0373,10.3,10.3,762.0,7.3
13084,Williams,tube,8.27,2679.0,-0.0385,9.5,9.5,1836.0,4.0
7649,Janssen,,6.89,2794.0,0.0063,6.4,,914.0,3.7
20842,Williams,tube,13.79,734.0,0.1275,,9.5,1836.0,1.5
4626,Williams,tube,13.79,2685.0,0.1512,9.5,9.5,1836.0,1.8
12633,Thompson,,,5696.0,0.0051,,10.3,,3.6
18352,Peskov,,,1944.0,-0.0109,,10.0,,14.7
1291,Thompson,,13.79,2916.0,0.0279,7.8,7.8,,2.6
4836,Thompson,,18.96,3648.0,-0.1554,,1.9,696.0,2.4
17327,Thompson,tube,13.79,6429.0,-0.186,4.7,4.7,318.0,5.3
1300,Thompson,,13.79,2129.0,0.08,,7.8,591.0,2.1
16009,,tube,13.79,,0.0971,9.5,,,2.6
2250,Thompson,tube,11.03,,0.0787,11.5,11.5,1143.0,2.3
4281,Thompson,tube,18.96,2238.0,-0.1556,1.9,1.9,696.0,2.9
7316,Thompson,tube,6.89,,-0.0615,23.6,23.6,1972.0,4.8
23374,Thompson,tube,6.72,2021.0,0.1272,10.8,10.8,,3.6
27669,Thompson,tube,,3997.0,-0.1418,4.7,,318.0,8.0
25536,Thompson,tube,6.89,4056.0,0.0005,10.8,,3048.0,4.4
25116,,tube,,,0.1344,10.0,10.0,,2.2
8940,Thompson,tube,12.07,2346.0,-0.0443,1.9,1.9,152.0,2.6
12299,Thompson,tube,13.79,2794.0,0.0577,,7.8,591.0,2.3
6145,Beus,annulus,15.51,2712.0,0.0133,5.6,15.2,2134.0,3.1
5104,,tube,,,0.013,10.3,,,7.6
21672,,,13.79,,0.0249,7.7,7.7,,2.2
16105,Janssen,,9.65,2292.0,-0.0051,12.7,42.3,1778.0,4.2
31058,Thompson,,,3784.0,-0.1208,4.7,4.7,318.0,3.6
3682,Thompson,tube,6.89,5913.0,0.0874,10.3,10.3,762.0,3.3
6282,Thompson,tube,13.79,,-0.201,,7.8,591.0,2.3
14850,,tube,13.79,2798.0,0.1827,4.7,4.7,305.0,2.9
28350,Weatherhead,tube,13.79,2021.0,0.0229,7.7,7.7,457.0,1.3
10582,Beus,annulus,13.79,,0.1233,5.6,15.2,2134.0,1.4
8003,Richenderfer,plate,1.1,1500.0,-0.0109,15.0,120.0,,8.2
26080,Thompson,,13.79,1410.0,0.1524,,7.7,457.0,1.3
8358,,tube,2.63,4042.0,0.007,,3.0,150.0,4.3
4079,Thompson,tube,13.79,1316.0,-0.0886,3.6,3.6,76.0,3.6
24225,Peskov,tube,16.0,,-0.1392,,10.0,914.0,2.7
1015,Williams,tube,13.79,,0.0537,9.5,9.5,,2.4
2553,Thompson,,3.86,4069.0,0.0196,10.8,,432.0,4.9
14159,Thompson,tube,,4069.0,0.1005,11.5,11.5,1524.0,2.2
21742,Thompson,tube,3.86,4042.0,0.0396,10.8,10.8,432.0,4.5
22652,Thompson,,15.51,3757.0,-0.0058,,1.9,152.0,4.9
23100,,,13.79,1356.0,-0.077,,7.7,,3.8
7129,,tube,3.86,,0.0179,10.8,10.8,432.0,4.1
14797,Thompson,tube,13.79,1356.0,-0.1438,7.7,7.7,,2.5
29685,Thompson,,6.89,6049.0,-0.0651,10.3,10.3,762.0,6.3
4322,Weatherhead,tube,,681.0,-0.0103,11.1,,457.0,3.2
10354,Thompson,,6.89,3811.0,0.1178,12.8,12.8,1930.0,2.0
6008,Janssen,annulus,,,-0.0456,12.7,38.1,914.0,4.7
9964,,tube,13.79,,-0.0541,4.7,4.7,318.0,3.6
20291,Thompson,tube,6.89,7269.0,-0.0166,12.8,12.8,1930.0,4.3
7428,Williams,tube,15.17,,0.0449,9.5,9.5,1836.0,1.8
17831,Thompson,tube,13.79,5249.0,0.0753,4.7,4.7,,2.2
14943,Beus,annulus,15.51,2707.0,0.1549,5.6,15.2,2134.0,1.4
11812,Thompson,tube,3.45,3770.0,0.0067,10.8,,,3.3
6354,Beus,annulus,15.51,2712.0,0.0202,5.6,15.2,2134.0,2.1
21174,Beus,,11.03,2730.0,0.0886,5.6,15.2,2134.0,1.8
8158,Beus,annulus,11.03,,0.1312,5.6,15.2,2134.0,1.8
12038,Richenderfer,plate,0.2,1000.0,-0.0087,,120.0,,3.5
28027,Thompson,,3.45,3770.0,0.0406,10.3,10.3,762.0,4.8
31311,Peskov,,10.0,4986.0,-0.0466,,10.0,1000.0,4.1
26037,Thompson,tube,10.34,5913.0,-0.1248,10.3,10.3,762.0,6.7
1876,Thompson,tube,13.79,3119.0,-0.0296,1.9,,152.0,4.3
24118,Thompson,tube,13.79,1546.0,0.0975,7.8,7.8,591.0,2.3
18322,Thompson,tube,6.89,,0.0666,23.6,23.6,1972.0,2.3
19929,Beus,annulus,11.03,2729.0,0.0886,5.6,15.2,2134.0,1.6
13355,Thompson,tube,,4069.0,-0.0898,10.8,10.8,864.0,3.0
15936,Thompson,tube,6.89,,-0.4489,4.7,,305.0,3.7
3166,Thompson,tube,13.79,3920.0,-0.1331,1.9,,152.0,3.9
3978,Thompson,tube,,5357.0,0.0477,10.8,,864.0,7.8
21940,Thompson,tube,8.93,4069.0,0.0498,,11.5,1359.0,2.8
14663,Weatherhead,tube,13.79,1356.0,-0.2383,11.1,,457.0,3.5
17978,Thompson,tube,18.96,2034.0,-0.0412,,,152.0,3.2
20149,Thompson,,6.89,3933.0,0.0051,10.3,10.3,762.0,2.0
9102,Beus,annulus,15.51,3670.0,-0.0252,,15.2,2134.0,2.5
5889,,tube,13.79,,-0.0601,3.6,3.6,,7.0
2265,,,6.89,,-0.0427,10.3,10.3,794.0,4.8
26023,,tube,6.89,5723.0,0.0051,10.3,10.3,794.0,4.6
12049,Thompson,tube,6.83,4056.0,0.1748,10.8,10.8,,2.5
5351,Weatherhead,tube,,2034.0,0.1936,7.7,7.7,457.0,1.4
11314,Thompson,tube,,,-0.0298,10.3,,762.0,4.7
1184,Thompson,tube,10.34,5696.0,-0.1248,10.3,10.3,762.0,4.7
27972,Thompson,tube,13.79,2238.0,-0.0195,1.9,1.9,152.0,6.2
2794,Thompson,tube,,7975.0,-0.0875,10.3,10.3,762.0,8.8
31171,,,13.79,2862.0,0.0854,4.7,,318.0,4.0
10531,Thompson,tube,6.89,1356.0,0.0562,5.6,5.6,432.0,3.5
9023,Thompson,tube,10.34,6049.0,-0.0625,10.3,10.3,762.0,6.6
494,,annulus,15.51,1355.0,0.0568,5.6,15.2,,1.9
23548,Thompson,tube,3.86,2889.0,0.1404,10.8,10.8,,1.2
21198,Thompson,tube,6.83,4096.0,-0.0833,10.8,10.8,864.0,4.7
28450,,tube,6.79,1017.0,-0.0434,,10.8,216.0,4.0
